12-18-2021 23:31:35 INFO: ================================================================================
12-18-2021 23:31:35 INFO: Opening map from C:\Users\Farhan\Documents\GitHub\homa\Engine\Logic\maps\map9.json.
12-18-2021 23:31:35 WARNING: Player 2 action in step 3 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 2 action in step 5 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 2 action in step 7 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 8 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 9 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 10 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 11 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 12 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 13 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 14 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 15 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 16 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 17 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 18 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 19 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 20 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 21 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 22 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 23 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 24 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 25 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 26 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 27 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 28 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 29 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 30 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 31 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 32 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 33 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 34 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 35 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 36 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 37 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 38 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 39 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 40 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 41 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 42 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 43 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 44 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 45 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 46 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 47 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 48 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 49 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 50 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 51 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 52 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 53 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 54 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 55 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 56 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 57 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 58 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 59 ignored! 'right' tile is not accessible (9, 15).
